#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 38041;07 47 49.57;-54 15 48.5; 8.10; 0.745;G6IV/V    ;nor      ;  22.594; 0.0077; 0.0207;VC;  4; 0.0103; 4384;54129;Simbad;116.957160;-54.264145
 38228;07 49 55.07;+27 21 47.6; 6.90; 0.682;G5IV      ;ni,nor   ; -15.835; 0.0174; 0.0251;VC;  3; 0.0145; 1474;51001;Simbad;117.479421;+27.363181
 38374;07 51 42.04;+09 23 11.4; 8.58; 0.726;G5        ;nor      ; -20.232; 0.0085; 0.0165;VC;  5; 0.0074; 1146;54938;Simbad;117.924990;+09.386052
 38392;07 51 55.93;-11 01 57.2; 7.71; 0.721;G5        ;nor      ;  53.242; 0.0083; 0.0387;VC;  5; 0.0173; 3999;54205;Simbad;117.982863;-11.032976
 38522;07 53 19.16;+51 18 12.7; 8.16; 0.543;G0        ;nor      ;  -0.656; 0.0098; 0.0055;VC;  5; 0.0044;  990;54915;Simbad;118.329644;+51.303474
 38747;07 55 58.21;-09 47 49.7; 8.37; 0.671;G5        ;nor      ;  -8.002; 0.0071; 0.0250;VC; 10; 0.0079; 3289;53931;Simbad;118.992612;-09.797206
 38750;07 56 00.52;+06 30 44.9; 7.86; 0.626;F8        ;nor      ; -27.381; 0.0120; 0.0664;VC;  2; 0.0470; 3328;53234;Simbad;119.002665;+06.512243
 38784;07 56 18.87;+80 15 55.2; 6.55; 0.719;G8V       ;nor      ;  -7.752; 0.0142; 0.0087;VC; 15; 0.0037; 4672;51018;Simbad;119.071793;+80.265542
 38838;07 56 53.52;-00 48 43.4; 8.53; 0.530;G0IV      ;nor      ;   7.348; 0.0103; 0.0296;VC;  4; 0.0148; 1131;55249;Simbad;119.223126;-00.812282
 38926;07 57 54.81;+40 58 29.4; 8.63; 0.594;F8        ;nor      ; -67.211; 0.0092; 0.0014;VC;  2; 0.0065;  495;54650;Simbad;119.478656;+40.974462
 39157;08 00 32.24;+29 12 54.7; 6.97; 0.716;G8V       ;ni,nor   ;  14.886; 0.0129; 0.0235;VC; 20; 0.0053; 4673;51741;Simbad;120.133871;+29.212356
 39169;08 00 41.25;+18 14 44.1; 7.09; 0.965;G5        ;nor      ;  21.419; 0.0082; 0.0071;VC;  2; 0.0058; 1173;54989;Simbad;120.171841;+18.245564
 39180;08 00 48.10;+19 48 58.4; 6.30; 1.109;K1III     ;fa       ;  29.245; 0.0080; 0.0301;VC;  3; 0.0174;  728;54888;Simbad;120.200427;+19.816216
 39271;08 01 50.73;+08 54 50.2; 6.22; 0.570;G0IV      ;nor      ;  11.510; 0.0111; 0.0144;VC;  2; 0.0102; 3730;53397;Simbad;120.461372;+08.913991
 39298;08 02 05.44;-12 48 14.7; 8.06; 0.721;G6V       ;nor      ;  26.061; 0.0079; 0.0103;VC;  5; 0.0046; 3997;53892;Simbad;120.522346;-12.804623
 39306;08 02 11.09;+26 38 16.6; 7.70; 0.933;G8III     ;IAU_std  ;  35.941; 0.0105; 0.1601;VC;  2; 0.1132; 3748;53024;Simbad;120.546204;+26.637884
 39330;08 02 27.09;-46 20 12.7; 7.52; 0.655;G5V       ;nor      ;  23.176; 0.0057; 0.0133;VC; 12; 0.0038; 4093;54412;Simbad;120.612450;-46.336303
 39342;08 02 31.41;-66 01 14.2; 7.18; 0.872;K1V       ;nor      ;  45.390; 0.0076; 0.0082;VC;  4; 0.0041; 4452;54039;Simbad;120.629952;-66.020939
 39417;08 03 28.71;-01 09 43.9; 8.25; 0.715;G5        ;ni,nor   ;  44.171; 0.0094; 0.0446;VC;  4; 0.0223; 1311;55204;Simbad;120.869438;-01.162709
 39710;08 07 00.30;-29 24 07.5; 6.80; 0.600;G2V       ;ni,nor   ; -15.622; 0.0059; 0.0048;VC;  7; 0.0022; 3600;53140;Simbad;121.752176;-29.402937
 39714;08 07 03.52;-04 00 50.7; 7.62; 1.018;G5        ;nor      ;  34.928; 0.0109; 0.0298;VC;  4; 0.0149; 1100;55362;Simbad;121.764620;-04.014064
 39747;08 07 25.37;+55 18 05.0; 7.19; 1.080;K1III     ;fa       ; -18.844; 0.0080; 0.0269;VC;  2; 0.0190;  362;55080;Simbad;121.855792;+55.301371
 39816;08 08 08.68;+19 12 58.2; 7.62; 0.619;F8        ;nor      ;  26.720; 0.0106; 0.0664;VC;  5; 0.0297; 1863;54041;Simbad;122.036071;+19.215939
 39911;08 09 05.35;-42 04 30.2; 9.60; 0.602;G3Vw...   ;nor      ;  78.844; 0.0077; 0.0086;VC;  4; 0.0043; 2526;54346;Simbad;122.270984;-42.074572
 40043;08 10 46.32;-62 53 48.5; 8.28; 0.569;F8V       ;nor      ;  38.955; 0.0156; 0.0212;VC;  2; 0.0150; 1100;55334;Simbad;122.692626;-62.896440
 40093;08 11 21.73;+38 43 53.4; 6.61; 0.593;G0        ;nor      ;  25.943; 0.0152; 0.0167;VC; 15; 0.0043; 5072;51624;Simbad;122.840210;+38.731314
 40133;08 11 49.21;+16 31 28.2; 7.34; 0.667;G0        ;ni,nor   ;   9.205; 0.0152; 0.0512;VC; 19; 0.0117; 4389;51693;Simbad;122.954954;+16.523862
 40174;08 12 16.08;-40 30 11.1; 8.19; 0.619;G3V       ;nor      ;  -3.150; 0.0076; 0.0033;VC;  4; 0.0038; 3760;54049;Simbad;123.066541;-40.502782
 40438;08 15 25.22;-52 03 36.6; 6.63; 0.579;G1V       ;nor      ;  11.827; 0.0070; 0.0030;VC;  4; 0.0035; 3630;53454;Simbad;123.855060;-52.060299
 40858;08 20 12.98;-00 54 32.8; 6.18; 0.607;F9V       ;nor      ;   9.158; 0.0076; 0.0263;VC;  7; 0.0099; 4346;54425;Simbad;125.054164;-00.909314
 41134;08 23 31.89;-27 49 20.2; 7.09; 0.600;G0V       ;nor      ;  13.171; 0.0076; 0.0095;VC;  4; 0.0047; 3675;53479;Simbad;125.882547;-27.822353
 41254;08 25 00.31;-74 54 44.3; 7.17; 0.671;G3IV/V    ;nor      ;  45.155; 0.0132; 0.0129;VC;  3; 0.0076; 1105;55333;Simbad;126.251496;-74.912198
 41454;08 27 18.76;+35 49 02.4; 8.15; 0.588;G5        ;nor      ;   9.319; 0.0100; 0.0608;VC;  2; 0.0430;  327;54735;Simbad;126.827977;+35.817271
 41479;08 27 35.20;-05 08 54.4; 7.17; 0.646;G0        ;ni,nor   ;  60.271; 0.0069; 0.0146;VC;  6; 0.0060; 4129;53828;Simbad;126.896359;-05.148635
 41484;08 27 36.80;+45 39 13.8; 6.32; 0.624;G5V       ;ni,nor   ; -32.300; 0.0159; 0.0191;VC; 94; 0.0020; 4004;51601;Simbad;126.903273;+45.652987
 41526;08 28 08.98;+47 18 08.3; 7.98; 0.639;G0V       ;nor      ;  -0.933; 0.0087; 0.0151;VC;  7; 0.0057; 1893;54669;Simbad;127.037356;+47.302191
 41844;08 31 55.11;+50 37 03.1; 7.44; 0.630;G1V       ;ni,nor   ;  13.573; 0.0073; 0.0412;VC; 40; 0.0065; 5106;52568;Simbad;127.979310;+50.616692
 41926;08 32 52.26;-31 30 09.7; 6.38; 0.780;K0V       ;ni,nor   ;  14.882; 0.0062; 0.0101;VC;  6; 0.0041; 4007;53662;Simbad;128.214566;-31.500853
 42011;08 33 45.93;-23 21 21.4; 7.22; 0.745;K1IV +... ;nor      ;  19.699; 0.0092; 0.0080;VC;  4; 0.0046; 4305;54490;Simbad;128.440444;-23.355549
 42030;08 34 03.25;-01 34 04.7; 7.46; 0.612;G0        ;ni,nor   ; -18.151; 0.0133; 0.0484;VC;  4; 0.0242; 4739;54384;Simbad;128.513289;-01.568217
 42123;08 35 12.48;-39 58 14.0; 6.44; 0.578;G1V       ;nor      ;  33.908; 0.0068; 0.0045;VC;  4; 0.0034; 4058;53875;Simbad;128.802240;-39.970452
 42273;08 37 10.11;+69 41 56.2; 7.14; 0.928;K0        ;fa       ;  12.543; 0.0081; 0.0064;VC;  2; 0.0058;  690;54916;Simbad;129.292040;+69.698896
 42281;08 37 15.61;-17 29 41.2; 8.72; 0.910;K1V       ;nor      ;  28.144; 0.0103; 0.0146;VC;  4; 0.0073; 4342;54481;Simbad;129.314748;-17.494653
 42291;08 37 20.23;-40 08 51.9; 6.53; 0.598;G1V       ;nor      ;  -1.753; 0.0072; 0.0119;VC;  4; 0.0060; 3587;53390;Simbad;129.333305;-40.147666
 42403;08 38 45.55;+23 41 10.6; 6.89; 0.547;F8        ;ni,nor   ;   6.253; 0.0068; 0.0255;VC; 92; 0.0027; 4845;52758;Simbad;129.689669;+23.685905
 42539;08 40 18.65;-79 40 26.0; 8.09; 0.578;F8V       ;nor      ;  14.124; 0.0140; 0.0071;VC;  2; 0.0099;  159;55249;Simbad;130.079636;-79.674040
 42612;08 41 04.47;-02 00 45.1; 8.48; 0.630;G5        ;nor      ;  85.393; 0.0104; 0.0316;VC;  6; 0.0129;  987;55458;Simbad;130.268194;-02.012587
 42922;08 44 50.93;-44 32 34.5; 6.56; 0.567;G3IV      ;nor      ;  23.566; 0.0078; 0.0121;VC;  4; 0.0061; 3723;53515;Simbad;131.211519;-44.542596
 42943;08 45 12.03;+15 20 31.0; 8.11; 0.753;G5        ;nor      ;  20.467; 0.0091; 0.0177;VC;  2; 0.0125;  362;55082;Simbad;131.300062;+15.341954
 43297;08 49 12.62;+03 29 04.6; 7.45; 0.689;G0        ;nor      ;  10.248; 0.0058; 0.0207;VC; 36; 0.0035; 5149;52764;Simbad;132.302209;+03.484756
 43375;08 50 07.42;+61 49 59.6; 7.79; 1.070;K0        ;fa       ; -20.252; 0.0082; 0.0488;VC;  2; 0.0345;  329;54734;Simbad;132.530862;+61.833287
 43410;08 50 32.27;+33 17 06.9; 6.22; 0.549;F7Vn      ;ni,nor   ;   4.265; 0.0053; 0.0314;VC; 29; 0.0058; 1236;54044;Simbad;132.634264;+33.285052
 43487;08 51 27.99;-61 21 48.0; 7.16; 0.545;F7V       ;nor      ;  12.863; 0.0157; 0.0247;VC;  2; 0.0175;  736;54961;Simbad;132.865581;-61.362967
 43565;08 52 20.43;-12 48 30.4; 6.83; 0.553;F8IV      ;nor      ;   7.587; 0.0095; 0.0189;VC;  4; 0.0094; 1620;55349;Simbad;133.085050;-12.808694
 43618;08 53 01.54;+09 11 08.8; 8.61; 0.690;G0        ;nor      ;   2.812; 0.0097; 0.1516;VC;  5; 0.0678; 4113;54210;Simbad;133.256701;+09.185120
 43670;08 53 49.93;+26 54 47.7; 8.46; 0.766;G8V       ;IAU_std  ; -17.881; 0.0056; 0.0384;VC; 21; 0.0084; 2297;54028;Simbad;133.458076;+26.913241
 43706;08 54 02.63;-51 35 01.8; 8.42; 0.656;G5V       ;nor      ;  28.273; 0.0115; 0.0106;VC;  2; 0.0082;  736;54961;Simbad;133.511663;-51.584235
 43726;08 54 18.19;-05 26 04.3; 6.01; 0.661;G3V       ;ni,nor   ;  32.076; 0.0077; 0.0126;VC;  7; 0.0048; 5132;53446;Simbad;133.574781;-05.434459
 43730;08 54 21.54;+20 35 10.3; 8.32; 0.919;K0        ;fa       ;  31.363; 0.0097; 0.0085;VC;  2; 0.0068;  360;55081;Simbad;133.589679;+20.586180
 43737;08 54 30.09;+40 08 01.2; 7.62; 0.628;G5        ;nor      ; -35.533; 0.0058; 0.0117;VC; 24; 0.0024; 4488;52493;Simbad;133.625498;+40.133272
 43777;08 54 58.94;-18 48 44.0; 7.38; 0.842;K0/K1V    ;nor      ;  20.474; 0.0091; 0.0302;VC;  3; 0.0174;  884;55808;Simbad;133.745211;-18.812174
 43886;08 56 24.46;+83 53 15.6; 7.48; 0.556;F8        ;nor      ;  11.627; 0.0083; 0.0106;VC;  3; 0.0061; 1029;55022;Simbad;134.098651;+83.887383
 43904;08 56 39.43;+33 15 28.2; 7.32; 0.511;G0        ;nor      ;  33.178; 0.0088; 0.0290;VC;  2; 0.0205;  362;55082;Simbad;134.164297;+33.257759
 44089;08 58 49.90;+25 24 19.1; 7.47; 0.680;G2V       ;ni,nor   ; -12.491; 0.0152; 0.2123;VC; 34; 0.0364; 5066;51574;Simbad;134.707783;+25.404968
 44097;08 58 55.78;+21 09 59.0; 7.63; 0.693;G5        ;nor      ;  31.022; 0.0065; 0.0141;VC; 19; 0.0032; 4333;52284;Simbad;134.732213;+21.166281
 44132;08 59 17.75;-35 18 36.9; 8.84; 0.620;G1V       ;nor      ;  39.759; 0.0053; 0.0030;VC; 22; 0.0011;  736;54860;Simbad;134.824432;-35.310310
 44137;08 59 22.32;+07 24 55.1; 7.84; 0.756;G5        ;ni       ;   3.093; 0.0082; 0.0092;VC;  2; 0.0065; 1508;54821;Simbad;134.843251;+07.414983
 44353;09 01 56.84;-01 07 30.9; 7.95; 0.714;F8        ;nor      ;   3.736; 0.0125; 0.0580;VC;  2; 0.0410;  669;54927;Simbad;135.486730;-01.125346
 44487;09 03 51.30;-41 33 19.4; 7.83; 0.657;G2V       ;nor      ;  18.403; 0.0156; 0.0163;VC;  2; 0.0115;  736;54961;Simbad;135.963687;-41.555395
 44696;09 06 29.79;-02 35 59.1; 7.34; 0.646;G0        ;nor      ;   7.353; 0.0103; 0.0231;VC;  3; 0.0134; 1295;55245;Simbad;136.624217;-02.599657
 44713;09 06 38.79;-43 29 32.7; 7.31; 0.664;G5V       ;nor      ;  65.085; 0.0059; 0.0055;VC;  8; 0.0021; 4309;53213;Simbad;136.661794;-43.491977
 44880;09 08 40.21;-09 23 03.2; 8.08; 0.671;G5        ;nor      ;  28.797; 0.0107; 0.0246;VC;  3; 0.0142; 1295;55245;Simbad;137.167336;-09.384101
 44907;09 08 54.21;+50 47 09.1; 8.14; 0.800;G5        ;nor      ;  20.752; 0.0098; 0.0173;VC;  4; 0.0087; 1061;54288;Simbad;137.225162;+50.784965
 45183;09 12 25.42;-81 46 07.0; 7.49; 0.556;F6V       ;nor      ; -58.290; 0.0284; 0.0636;VC;  2; 0.0450; 1294;55237;Simbad;138.104557;-81.768552
 45196;09 12 37.47;+33 36 00.7; 8.25; 0.813;G5        ;nor      ;   1.579; 0.0091; 0.0049;VC;  2; 0.0064;  361;55081;Simbad;138.156291;+33.600224
 45283;09 13 44.75;-42 18 37.0; 8.01; 0.582;G2V       ;nor      ;  39.451; 0.0053; 0.0021;VC; 19; 0.0012; 1294;54900;Simbad;138.435950;-42.310408
 45606;09 17 45.67;+23 04 43.8; 6.97; 1.154;K0        ;fa       ;  -0.639; 0.0085; 0.0276;VC;  2; 0.0195;  329;54733;Simbad;139.440209;+23.078818
 45737;09 19 28.39;+00 53 50.5; 8.15; 0.860;K0        ;ni       ;  51.057; 0.0146; 0.0572;VC;  5; 0.0256; 6140;51124;Simbad;139.867968;+00.897062
 45869;09 21 10.57;+25 09 48.8; 7.26; 0.627;G0        ;nor      ; -37.923; 0.0058; 0.0099;VC; 24; 0.0020; 4102;52439;Simbad;140.294179;+25.163221
 46126;09 24 22.84;-63 43 05.4; 8.52; 0.650;G2V       ;nor      ;  26.116; 0.0100; 0.0205;VC;  2; 0.0145; 2378;54695;Simbad;141.095612;-63.718348
 46324;09 26 42.81;-14 29 25.5; 7.91; 0.701;G6/G8V    ;nor      ; -16.482; 0.0078; 0.0308;VC;  6; 0.0126; 4402;54054;Simbad;141.678473;-14.490746
 46580;09 29 55.12;+05 39 17.5; 7.20; 1.002;K3V       ;ni,nor   ;  29.913; 0.0118; 0.0378;VC; 36; 0.0063; 6273;52896;Simbad;142.478435;+05.655134
 46639;09 30 36.16;+52 47 24.0; 9.24; 0.548;G0        ;ni       ;  36.242; 0.0105; 0.0071;VC;  2; 0.0075;  330;54735;Simbad;142.650482;+52.789978
 46777;09 31 59.33;-28 13 34.2; 8.43; 0.707;G5V       ;nor      ;  -0.253; 0.0086; 0.0085;VC;  4; 0.0043; 4269;53670;Simbad;142.997101;-28.226602
 47012;09 34 52.83;+09 40 38.1; 8.56; 0.637;G0        ;nor      ;   3.345; 0.0093; 0.2178;VC;  2; 0.1540;  362;55080;Simbad;143.719832;+09.677113
 47269;09 38 02.53;-35 04 35.3; 8.63; 0.970;K0III     ;IAU_std  ;  43.781; 0.0124; 0.0049;VC;  2; 0.0088;    4;54591;Simbad;144.510447;-35.076605
 47513;09 41 10.76;+13 12 35.7;10.38; 1.490;M2        ;ni       ;  11.626; 0.0068; 0.0913;VC; 29; 0.0170; 1517;54688;Simbad;145.293158;+13.209566
 47650;09 42 52.87;+70 02 24.2;11.19; 1.488;M4        ;ni       ;   6.651; 0.0091; 0.0113;VC;  5; 0.0050;  772;55417;Simbad;145.715548;+70.039415
 47663;09 43 06.05;-69 21 01.3; 8.72; 0.715;G6V       ;nor      ;  38.930; 0.0153; 0.0354;VC;  2; 0.0250; 1294;55237;Simbad;145.776965;-69.350767
 47681;09 43 20.34;-29 48 14.7; 8.41; 0.645;G5V       ;nor      ;  11.289; 0.0074; 0.0239;VC; 14; 0.0064; 3208;53907;Simbad;145.834489;-29.804009
 47690;09 43 25.63;+42 41 36.8; 8.13; 1.133;K5V       ;ni,nor   ; -12.154; 0.0176; 0.0232;VC;  5; 0.0104; 3660;50983;Simbad;145.856913;+42.691559
 47786;09 44 35.44;+19 00 10.2; 8.73; 0.617;G         ;nor      ;  -0.389; 0.0107; 0.0467;VC;  2; 0.0330;  325;54736;Simbad;146.147625;+19.002763
 47947;09 46 13.27;-40 38 09.3; 7.93; 0.558;F8/G0V    ;nor      ;  -0.135; 0.0093; 0.0138;VC;  4; 0.0069; 4301;53660;Simbad;146.555559;-40.635631
 47988;09 46 50.65;-01 54 23.1; 8.51; 0.791;G5        ;nor      ;   6.867; 0.0109; 0.0118;VC;  3; 0.0068; 1294;55245;Simbad;146.711166;-01.906449
 48103;09 48 26.99;+18 48 22.5; 8.62; 0.536;G0        ;nor      ;  22.478; 0.0147; 0.0163;VC;  2; 0.0115;  325;54736;Simbad;147.112341;+18.806263
 48331;09 51 06.68;-43 30 05.9; 7.67; 1.156;K5V       ;nor      ;  -9.510; 0.0052; 0.0025;VC; 44; 0.0008; 4299;54751;Simbad;147.779381;-43.502787
 48351;09 51 21.69;-06 10 55.4; 6.42; 0.577;F8V       ;nor      ;  35.276; 0.0083; 0.0247;VC;  6; 0.0101; 4312;54189;Simbad;147.840067;-06.181928
 48486;09 53 17.25;+69 51 31.6; 7.92; 1.197;K0        ;fa       ;   2.901; 0.0081; 0.0438;VC;  2; 0.0310;  330;54735;Simbad;148.321825;+69.858762
 48583;09 54 31.12;-45 43 51.9; 8.17; 0.708;G5IV      ;nor      ;  22.496; 0.0059; 0.0439;VC;  5; 0.0196; 1305;54842;Simbad;148.629874;-45.730980
 48696;09 55 51.82;+26 51 04.2; 7.84; 1.022;K0III     ;fa       ;  -7.537; 0.0088; 0.2701;VC;  2; 0.1910;  329;54733;Simbad;148.966013;+26.851132
 48714;09 56 09.06;+62 47 23.6; 8.99; 1.438;M2        ;ni       ;  15.384; 0.0096; 0.1902;VC; 14; 0.0508; 5800;53795;Simbad;149.036126;+62.788463
 48739;09 56 29.96;-24 05 58.2; 7.93; 0.647;G2V       ;nor      ;  19.755; 0.0078; 0.0152;VC;  4; 0.0076; 4299;53765;Simbad;149.124352;-24.099390
 49024;10 00 06.08;-36 02 36.2; 7.38; 0.580;G1V       ;nor      ;   2.905; 0.0079; 0.0056;VC;  4; 0.0039; 4309;53659;Simbad;150.024657;-36.043234
 49122;10 01 32.91;+36 30 39.7; 8.11; 0.578;G0        ;nor      ;  -5.951; 0.0096; 0.1082;VC;  2; 0.0765;  328;54735;Simbad;150.387049;+36.510920
 49246;10 03 12.07;+58 05 53.3; 7.48; 0.583;F8        ;nor      ; -11.715; 0.0047; 0.0070;VC;  9; 0.0023; 1502;54190;Simbad;150.799488;+58.097803
 49285;10 03 37.54;-29 02 36.3; 8.10; 0.678;G8V       ;nor      ;  86.834; 0.0127; 0.0141;VC;  2; 0.0100; 1294;55237;Simbad;150.905761;-29.043338
 49366;10 04 37.78;-11 43 46.7; 8.15; 0.891;K0        ;ni       ; -11.995; 0.0087; 0.0251;VC;  6; 0.0102; 4254;54138;Simbad;151.156917;-11.729703
 49371;10 04 43.06;+54 20 43.7; 8.97; 0.719;K0        ;fa,nor   ; -38.172; 0.0159; 0.0166;VC;  3; 0.0096; 4333;52011;Simbad;151.179925;+54.345398
 49644;10 07 58.44;-58 28 46.7; 8.83; 0.705;G5        ;nor      ;  18.603; 0.0080; 0.0080;VC;  4; 0.0040; 3211;54124;Simbad;151.992512;-58.479386
 49680;10 08 29.75;+33 30 54.0; 7.49; 0.708;G5        ;ni       ; -42.116; 0.0098; 0.2964;VC;  2; 0.2096; 4424;53363;Simbad;152.124399;+33.514603
 49699;10 08 43.18;+34 14 32.7; 7.56; 0.965;K0        ;ni       ;   9.338; 0.0303;       ;VC;  2; 0.0214; 1510;52320;Simbad;152.179748;+34.242260
 49942;10 11 48.31;+23 45 18.1; 8.42; 0.637;G2V       ;ni,nor   ;  82.507; 0.0144; 0.0086;VC;  2; 0.0102; 5511;52819;Simbad;152.950290;+23.755194
 49986;10 12 17.76;-03 44 42.3; 9.26; 1.487;M3        ;ni       ;   8.040; 0.0108; 0.0945;VC;  3; 0.0546; 1302;55351;Simbad;153.073617;-03.745662
 50075;10 13 24.99;-33 01 54.8; 6.38; 0.592;G0V       ;nor      ;  44.061; 0.0060; 0.0055;VC;  6; 0.0024; 4437;53493;Simbad;153.353041;-33.031722
 50139;10 14 08.20;+03 09 08.2; 7.75; 0.609;G1V       ;ni,nor   ; -21.976; 0.0052; 0.0039;VC; 20; 0.0012; 4727;54532;Simbad;153.534727;+03.151300
 50174;10 14 29.84;+21 10 05.6; 6.02; 0.573;F9V       ;nor      ;  17.291; 0.0089; 0.0460;VC;  2; 0.0325;  332;54735;Simbad;153.623951;+21.168057
 50316;10 16 28.12;+28 40 57.7; 6.46; 0.635;G0V       ;ni,nor   ;  29.061; 0.0061; 0.0082;VC; 41; 0.0013; 3954;52117;Simbad;154.117011;+28.682479
 50478;10 18 25.08;-26 30 00.9; 7.94; 0.940;K0V       ;ni       ;  29.747; 0.0261; 0.0219;VC;  2; 0.0184; 1302;55239;Simbad;154.604614;-26.500345
 50534;10 19 16.32;-11 22 42.1; 8.03; 0.717;G5        ;nor      ;  18.849; 0.0080; 0.0252;VC;  6; 0.0103; 4304;54141;Simbad;154.817843;-11.378512
 50606;10 20 14.88;+53 46 45.4; 6.45; 0.580;F9V       ;nor      ; -20.119; 0.0155; 0.1581;VC; 52; 0.0219; 4368;51590;Simbad;155.061636;+53.779391
 50657;10 20 43.80;-01 28 09.9; 9.41; 1.073;K3V       ;nor      ;  23.219; 0.0195; 0.1004;VC;  7; 0.0379; 3294;53662;Simbad;155.180858;-01.469829
 50782;10 22 09.47;+11 18 39.7; 7.78; 0.750;G5        ;nor      ; -13.468; 0.0058; 0.0241;VC;  6; 0.0098; 1899;54430;Simbad;155.539528;+11.310242
 50892;10 23 32.48;+56 31 17.1; 8.20; 0.938;K0III-IV  ;fa       ;  19.513; 0.0083; 0.0141;VC;  2; 0.0100;  329;54735;Simbad;155.884462;+56.521275
 50921;10 23 55.30;-29 38 44.8; 6.92; 0.659;G5V       ;ni,nor   ;  27.007; 0.0071; 0.0134;VC;  5; 0.0060; 4471;54330;Simbad;155.980312;-29.645529
 51007;10 25 11.25;-10 13 44.4;10.15; 1.459;M0        ;ni       ;  21.758; 0.0064; 0.0046;VC; 16; 0.0016; 1584;54615;Simbad;156.295165;-10.228694
 51018;10 25 21.67;-15 01 36.1; 8.76; 0.641;G5V       ;nor      ;  24.086; 0.0111; 0.0311;VC;  3; 0.0180; 1461;55301;Simbad;156.339879;-15.026559
 51028;10 25 29.53;-45 10 57.5; 8.26; 0.516;G0V       ;nor      ;  32.737; 0.0055; 0.0029;VC; 12; 0.0016; 1453;54975;Simbad;156.372878;-45.182716
 51152;10 26 56.54;+24 56 51.2; 7.55; 1.100;K1III     ;fa       ; -22.426; 0.0085; 0.0382;VC;  2; 0.0270;  330;54734;Simbad;156.735513;+24.947504
 51163;10 27 02.35;+46 56 14.2; 8.80; 0.701;G5        ;nor      ; -34.021; 0.0084; 0.0219;VC;  3; 0.0126;  690;55031;Simbad;156.759861;+46.937050
 51228;10 27 47.87;-34 23 57.8; 7.52; 0.585;G2/G3V    ;nor      ;  19.884; 0.0124; 0.0248;VC;  6; 0.0101; 3373;53797;Simbad;156.949072;-34.399482
